同盾分数,同盾多头借贷（1表示命中0表示未命中）
94,0
34,0
6,0
28,0
6,0
6,0
8,0
15,0
27,0
21,0
21,0
22,0
42,0
21,0
25,0
16,0
8,0
26,0
43,1
32,0
21,0
26,0
40,0
30,0
93,1
100,1
78,1
37,0
21,0
6,0
23,0
16,0
21,0
26,0
27,0
21,0
21,0
31,0
69,1
6,0
13,0
21,0
11,0
6,0
50,0
16,0
50,0
16,0
15,0
21,0
16,0
8,0
8,0
17,0
19,0
46,0
29,0
8,0
21,0
22,0
32,1
96,0
33,1
32,0
91,1
91,1
33,0
6,0
100,1
100,1
54,0
85,1
21,0
36,1
26,0
9,0
18,0
25,0
21,0
26,0
30,0
100,1
100,1
100,1
6,0
34,0
31,0
16,0
16,0
86,1
22,0
100,1
34,0
6,0
28,0
100,0
10,0
10,0
15,0
23,0
37,0
16,0
31,0
14,0
36,0
21,0
21,0
20,0
31,0
16,0
16,0
6,0
16,0
16,0
31,0
38,1
52,1
26,0
56,0
35,1
16,0
23,0
6,0
18,0
38,0
23,0
100,0
18,0
17,0
14,0
16,0
100,0
16,0
26,0
16,0
8,0
30,0
8,0
39,0
24,0
43,0
18,0
72,1
6,0
21,0
24,0
16,0
34,0
76,1
26,0
6,0
42,1
31,1
8,0
26,1
27,0
26,0
16,1
8,0
36,1
21,0
32,0
16,0
6,0
16,0
16,0
36,1
18,0
22,0
22,0
26,0
6,0
15,0
29,0
8,0
50,0
72,1
6,0
9,0
20,0
16,0
6,0
16,0
16,0
41,0
42,0
46,1
8,0
100,0
26,1
16,0
20,0
16,0
20,0
6,0
36,0
100,0
27,0
34,0
6,0
6,0
17,0
84,1
14,0
26,0
16,0
100,0
24,0
50,0
17,0
21,0
76,1
16,0
16,0
14,0
6,0
8,0
24,0
35,0
6,0
28,0
10,0
14,0
6,0
26,0
6,0
8,0
8,0
14,0
15,0
18,0
16,0
19,0
19,0
10,0
16,0
19,0
6,0
6,0
61,1
20,0
8,0
42,1
18,0
17,0
17,0
51,1
14,0
24,0
6,0
19,0
6,0
26,0
50,0
6,0
47,0
16,0
6,0
30,1
23,0
16,0
9,0
6,0
16,0
17,0
6,0
8,0
29,0
16,0
39,0
29,0
49,1
26,1
10,0
100,0
16,0
100,0
8,0
10,0
16,0
6,0
12,0
25,0
16,0
25,0
26,0
16,0
6,0
6,0
6,0
16,0
21,0
100,0
26,0
20,0
88,0
16,0
22,0
28,0
6,0
27,0
30,0
16,0
16,0
6,0
25,0
8,0
6,0
8,0
29,0
20,0
9,0
21,0
100,1
6,0
27,0
16,0
23,0
38,1
17,0
16,0
23,0
44,1
19,0
16,0
8,0
8,0
19,0
31,0
31,0
50,0
6,0
16,0
29,0
22,0
16,0
31,0
10,0
25,0
22,0
10,0
42,1
18,0
18,0
12,0
11,0
28,0
62,1
6,0
44,0
6,0
60,1
8,0
100,1
18,0
13,0
19,0
10,0
37,1
43,0
15,0
10,0
8,0
27,0
26,0
29,0
10,0
6,0
18,0
16,0
64,1
16,0
16,0
25,0
16,0
28,0
6,0
8,0
56,1
8,0
6,0
34,0
47,1
24,0
18,0
21,0
100,1
48,1
22,0
6,0
50,0
24,0
8,0
16,0
43,1
30,1
28,0
24,0
56,0
6,0
9,0
31,1
18,0
9,0
6,0
16,0
19,0
6,0
8,0
10,0
6,0
13,0
10,1
12,0
50,0
21,0
8,0
16,0
40,1
16,0
31,0
16,0
16,0
19,0
29,0
21,0
9,0
22,0
27,0
100,1
33,0
100,0
33,0
16,0
76,0
78,1
8,0
6,0
100,0
21,0
27,0
6,0
21,0
74,1
47,1
16,0
6,0
21,0
56,1
6,0
16,0
44,1
22,0
16,0
26,0
21,1
50,0
16,0
32,0
100,0
15,0
26,0
25,0
100,0
26,0
40,0
52,1
24,0
44,1
6,0
6,0
30,0
37,0
42,1
54,1
6,0
16,0
16,0
21,0
6,0
16,0
16,0
18,0
25,0
16,0
26,0
18,0
12,0
6,0
31,0
30,0
25,0
26,0
18,0
21,0
100,1
25,0
41,0
15,0
16,0
6,0
28,0
21,0
21,0
6,0
20,0
6,0
18,0
20,0
6,0
14,0
24,0
15,0
11,0
16,0
35,1
21,0
10,0
6,0
8,0
59,1
16,0
16,0
19,0
40,0
6,0
16,0
6,0
15,0
19,0
29,0
18,0
6,0
26,0
33,1
6,0
26,0
9,0
16,0
16,0
9,0
14,0
37,0
50,1
50,1
18,0
8,1
15,0
6,0
31,0
6,0
21,0
27,0
25,0
16,0
6,0
38,0
16,0
18,0
21,0
8,0
15,0
100,0
6,0
25,0
30,0
8,0
49,1
6,0
10,0
24,0
16,0
16,0
6,0
16,0
44,0
19,0
19,0
19,0
21,0
6,0
29,0
21,0
36,0
26,0
11,0
10,0
27,0
6,0
16,0
38,0
6,0
8,0
6,0
100,0
31,0
22,0
16,0
28,1
26,0
46,0
10,0
6,0
18,0
22,0
30,0
25,0
15,0
24,0
6,0
37,0
26,0
31,0
20,0
27,0
14,0
16,0
18,0
6,0
6,0
8,0
14,0
32,0
20,0
16,0
60,1
21,0
100,0
9,0
21,0
31,0
100,0
16,0
26,0
11,0
16,0
17,0
24,0
34,0
36,0
10,0
21,0
16,0
16,0
41,1
22,0
21,0
21,0
20,0
18,0
16,0
47,1
16,0
38,0
16,0
100,1
21,0
19,0
21,0
41,0
21,0
26,0
16,0
45,1
16,0
10,0
25,0
26,0
6,0
21,0
26,0
16,0
27,0
29,0
28,0
38,0
16,0
57,1
13,0
16,0
6,0
100,0
100,0
27,0
18,0
37,1
37,1
8,0
9,0
14,0
34,0
21,0
14,0
9,0
52,1
21,0
24,0
16,0
39,1
36,0
16,0
21,0
26,0
31,0
100,0
8,0
22,0
100,0
6,0
48,1
30,0
16,0
14,0
6,0
6,0
6,0
6,0
34,0
16,0
21,0
12,0
30,0
53,1
16,0
54,1
58,1
22,0
27,0
14,0
100,0
6,0
21,0
6,0
16,0
26,0
100,1
16,0
16,0
25,0
27,0
12,0
27,0
38,1
16,0
30,1
9,0
21,0
24,0
14,0
16,0
10,0
19,0
42,0
18,0
10,0
8,0
46,0
26,0
32,0
10,0
16,0
11,0
6,0
13,0
16,0
21,0
10,0
24,0
6,0
12,0
21,0
26,0
62,0
21,0
16,0
36,1
100,1
100,0
16,0
43,1
16,0
31,0
8,0
32,0
6,0
36,0
100,0
28,0
21,0
100,1
20,0
16,0
20,0
15,0
28,1
6,0
6,0
48,1
30,0
45,1
6,0
26,0
10,0
15,0
21,0
56,0
28,0
37,0
13,0
100,0
16,0
22,0
16,0
6,0
16,0
57,1
36,1
6,0
30,0
8,0
80,0
6,0
60,1
26,0
51,1
26,0
8,0
9,0
39,0
6,0
19,0
39,0
55,1
9,0
13,0
100,1
26,0
8,0
36,1
50,0
31,0
8,0
6,0
21,0
16,0
75,0
6,0
15,0
24,0
6,0
6,0
21,0
32,0
18,0
21,0
24,0
37,0
6,0
32,0
6,0
16,0
10,0
16,0
16,0
22,0
8,0
89,0
100,1
16,0
41,1
26,0
21,0
26,0
100,0
6,0
21,0
6,0
29,0
100,1
30,0
100,0
22,0
16,0
6,0
27,0
16,0
16,0
16,0
26,0
31,0
25,0
12,0
32,0
20,0
16,0
19,0
21,0
28,0
16,0
29,0
16,0
35,0
74,1
9,0
6,0
44,1
31,0
19,0
9,0
19,0
6,0
9,0
25,0
20,0
28,0
34,0
14,0
62,1
36,0
6,0
16,0
16,0
19,0
33,0
19,0
22,0
21,0
18,0
11,0
58,1
21,0
20,0
42,1
26,0
12,0
26,0
30,0
16,0
10,0
18,0
50,1
21,0
22,0
22,0
42,1
21,0
16,0
21,0
31,0
16,0
100,0
16,0
19,0
8,0
46,0
27,0
44,1
6,0
21,0
8,0
16,0
16,0
36,1
14,0
100,0
22,0
16,0
29,1
86,0
33,1
21,0
33,0
6,0
21,0
91,0
91,0
19,0
37,0
13,0
8,0
56,0
11,0
16,0
26,0
53,1
28,0
60,1
6,0
8,0
34,0
11,0
78,1
15,0
6,0
14,0
100,1
6,0
100,0
21,0
16,0
6,0
98,1
61,0
16,0
16,0
28,0
92,1
16,0
6,0
21,0
8,0
13,0
46,1
19,0
85,1
22,0
5,0
23,0
65,0
50,1
16,0
16,0
16,0
88,1
9,0
15,0
56,0
10,0
16,0
18,0
16,0
6,0
45,1
18,0
6,0
6,0
28,0
16,0
46,1
24,0
24,0
16,0
6,0
22,0
10,0
16,0
6,0
10,0
25,0
15,0
54,1
23,0
60,0
6,0
8,0
6,0
9,0
6,0
38,0
42,1
6,0
6,0
6,0
6,0
6,0
6,0
8,0
17,0
9,0
16,0
6,0
36,0
22,0
20,0
48,1
100,0
21,0
20,0
10,0
35,0
21,0
16,0
67,1
29,0
23,0
8,0
14,0
21,0
100,0
24,0
10,1
21,0
16,0
37,0
16,0
18,0
8,0
26,0
16,0
21,0
6,0
8,0
26,0
6,0
78,1
6,0
8,0
8,0
15,0
6,0
10,0
6,0
12,0
23,0
21,0
21,0
20,0
26,0
13,0
12,0
15,0
16,0
30,0
42,1
16,0
21,0
46,0
6,0
18,0
27,0
100,0
10,0
27,1
9,0
8,0
26,0
18,0
8,0
13,0
16,0
20,0
